"ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","confidenceTreatment","age","gender","gender_factor","time_estimate.1","time_estimate.2","uncertainty","confidence_other","confidence_self_category","confidence_self","social_confidence_factor","norm1","std_error","under","under_factor","copy","stay","diff_conf","heuristic","heuristic_f","interaction","interaction_f","linetype","experiment"
1,46,51,1,93,57,0.454545454545455,1,7,2,1,32,1,"female",5,13,"Low","Low",3,"High","2",0.494623655913978,-0.388869116999877,-1,"underestimate",0,0,-5,2,"Compromise",3,"HL","3","Experiment 1"
1,78,85,0,84,91,0.538461538461538,2,4,9,3,32,1,"female",4,9,"High","High",1,"Low","9",0.928571428571429,0.0450786556575726,-1,"underestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1"
1,48,48,0,58,55,0,3,7,4,1,32,1,"female",8,6,"High","Low",3,"High","4",0.827586206896552,-0.0559065660173043,-1,"underestimate",0,1,-3,1,"Stay",3,"HL","3","Experiment 1"
1,81,80,1,79,63,0.0555555555555556,4,7,7,3,32,1,"female",3,8,"Low","High",3,"High","7",1.0253164556962,0.141823682782346,1,"overestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1"
1,41,41,1,57,49,0,5,9,9,3,32,1,"female",7,6,"Low","High",3,"High","9",0.719298245614035,-0.164194527299821,-1,"underestimate",0,1,0,1,"Stay",4,"HH","1","Experiment 1"
1,65,68,0,94,78,0.230769230769231,6,4,1,1,32,1,"female",3,6,"High","Low",1,"Low","1",0.691489361702128,-0.192003411211728,-1,"underestimate",0,0,-3,2,"Compromise",1,"LL","11","Experiment 1"
1,47,45,0,44,40,0.285714285714286,7,6,1,1,32,1,"female",4,6,"High","Low",2,"Medium","1",1.06818181818182,0.184689045267962,1,"overestimate",0,0,-5,2,"Compromise",NA,NA,NA,"Experiment 1"
1,56,56,1,76,67,0,8,8,3,1,32,1,"female",4,5,"Low","Low",3,"High","3",0.736842105263158,-0.146650667650698,-1,"underestimate",0,1,-5,1,"Stay",3,"HL","3","Experiment 1"
1,64,65,0,98,72,0.125,9,6,8,3,32,1,"female",4,7,"High","High",2,"Medium","8",0.653061224489796,-0.23043154842406,-1,"underestimate",0,0,2,2,"Compromise",NA,NA,NA,"Experiment 1"
1,52,53,1,62,61,0.111111111111111,10,6,6,2,32,1,"female",3,6,"Low","Medium",2,"Medium","6",0.838709677419355,-0.0447830954945011,-1,"underestimate",0,0,0,2,"Compromise",NA,NA,NA,"Experiment 1"
1,50,52,0,93,61,0.181818181818182,11,4,6,2,32,1,"female",3,5,"High","Medium",1,"Low","6",0.537634408602151,-0.345858364311705,-1,"underestimate",0,0,2,2,"Compromise",NA,NA,NA,"Experiment 1"
1,45,49,0,84,50,0.8,12,1,10,3,32,1,"female",2,4,"High","High",1,"Low","10",0.535714285714286,-0.34777848719957,-1,"underestimate",0,0,9,2,"Compromise",2,"LH","88","Experiment 1"
1,57,59,0,58,66,0.222222222222222,13,6,8,3,32,1,"female",5,5,"High","High",2,"Medium","8",0.982758620689655,0.0992658477757992,-1,"underestimate",0,0,2,2,"Compromise",NA,NA,NA,"Experiment 1"
1,89,87,1,79,73,0.125,14,6,5,2,32,1,"female",3,4,"Low","Medium",2,"Medium","5",1.12658227848101,0.243089505567157,1,"overestimate",0,0,-1,2,"Compromise",NA,NA,NA,"Experiment 1"
1,40,40,0,57,47,0,15,4,8,3,32,1,"female",4,6,"High","High",1,"Low","8",0.701754385964912,-0.181738386948944,-1,"underestimate",0,1,4,1,"Stay",2,"LH","88","Experiment 1"
1,1,46,1,94,46,1,16,1,6,2,32,1,"female",3,6,"Low","Medium",1,"Low","6",0.0106382978723404,-0.872854475041516,-1,"underestimate",1,0,5,3,"Copy",NA,NA,NA,"Experiment 1"
1,150,72,0,44,72,1,17,1,1,1,32,1,"female",5,4,"High","Low",1,"Low","1",3.40909090909091,2.52559813617705,1,"overestimate",1,0,0,3,"Copy",1,"LL","11","Experiment 1"
1,80,80,1,76,64,0,18,7,1,1,32,1,"female",4,8,"Low","Low",3,"High","1",1.05263157894737,0.169138806033512,1,"overestimate",0,1,-6,1,"Stay",3,"HL","3","Experiment 1"
1,94,94,1,98,111,0,19,3,8,3,32,1,"female",4,6,"Low","High",1,"Low","8",0.959183673469388,0.0756909005555317,-1,"underestimate",0,1,5,1,"Stay",2,"LH","88","Experiment 1"
1,73,72,1,62,58,0.0666666666666667,20,3,3,1,32,1,"female",3,4,"Low","Low",1,"Low","3",1.17741935483871,0.293926581924854,1,"overestimate",0,0,0,2,"Compromise",1,"LL","11","Experiment 1"
2,43,43,1,93,53,0,1,6,7,3,41,2,"male",7,13,"Low","High",2,"Medium","7",0.462365591397849,-0.421127181516007,-1,"underestimate",0,1,1,1,"Stay",NA,NA,NA,"Experiment 1"
2,27,31,0,84,33,0.666666666666667,2,5,9,3,41,2,"male",4,7,"High","High",2,"Medium","9",0.321428571428571,-0.562064201485285,-1,"underestimate",0,0,4,2,"Compromise",NA,NA,NA,"Experiment 1"
2,42,46,0,58,50,0.5,3,5,5,2,41,2,"male",8,8,"High","Medium",2,"Medium","5",0.724137931034483,-0.159354841879373,-1,"underestimate",0,0,0,2,"Compromise",NA,NA,NA,"Experiment 1"
2,69,73,1,79,84,0.266666666666667,4,5,9,3,41,2,"male",5,8,"Low","High",2,"Medium","9",0.873417721518987,-0.0100750513948686,-1,"underestimate",0,0,4,2,"Compromise",NA,NA,NA,"Experiment 1"
2,36,36,0,57,44,0,5,5,1,1,41,2,"male",7,8,"High","Low",2,"Medium","1",0.631578947368421,-0.251913825545435,-1,"underestimate",0,1,-4,1,"Stay",NA,NA,NA,"Experiment 1"
2,77,78,1,94,90,0.0769230769230769,6,5,9,3,41,2,"male",4,10,"Low","High",2,"Medium","9",0.819148936170213,-0.0643438367436432,-1,"underestimate",0,0,4,2,"Compromise",NA,NA,NA,"Experiment 1"
2,39,43,0,44,46,0.571428571428571,7,5,3,1,41,2,"male",10,8,"High","Low",2,"Medium","3",0.886363636363636,0.00287086344978038,-1,"underestimate",0,0,-2,2,"Compromise",NA,NA,NA,"Experiment 1"
2,71,75,0,76,82,0.363636363636364,8,5,8,3,41,2,"male",5,7,"High","High",2,"Medium","8",0.934210526315789,0.0507177534019335,-1,"underestimate",0,0,3,2,"Compromise",NA,NA,NA,"Experiment 1"
2,80,80,0,98,97,0,9,6,2,1,41,2,"male",5,10,"High","Low",2,"Medium","2",0.816326530612245,-0.0671662423016111,-1,"underestimate",0,1,-4,1,"Stay",NA,NA,NA,"Experiment 1"
2,35,36,1,62,46,0.0909090909090909,10,3,7,3,41,2,"male",5,9,"Low","High",1,"Low","7",0.564516129032258,-0.318976643881598,-1,"underestimate",0,0,4,2,"Compromise",2,"LH","88","Experiment 1"
