"","ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","confidenceTreatment","age","gender","gender_factor","time_estimate.1","time_estimate.2","uncertainty","confidence_other","confidence_self_category","confidence_self","social_confidence_factor","norm1","std_error","under","under_factor","copy","stay","diff_conf","heuristic","heuristic_f","interaction","interaction_f","linetype","experiment"
"1",1,46,51,1,93,57,0.454545454545455,1,7,2,1,32,1,"female",5,13,"Low","Low",2,"High","2",0.494623655913978,-0.388869116999877,-1,"underestimate",0,0,-5,2,"Compromise",3,"HL","3","Experiment 1"
"2",1,78,85,0,84,91,0.538461538461538,2,4,9,2,32,1,"female",4,9,"High","High",1,"Low","9",0.928571428571429,0.0450786556575726,-1,"underestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1"
"3",1,48,48,0,58,55,0,3,7,4,1,32,1,"female",8,6,"High","Low",2,"High","4",0.827586206896552,-0.0559065660173043,-1,"underestimate",0,1,-3,1,"Stay",3,"HL","3","Experiment 1"
"4",1,81,80,1,79,63,0.0555555555555556,4,7,7,2,32,1,"female",3,8,"Low","High",2,"High","7",1.0253164556962,0.141823682782346,1,"overestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1"
"5",1,41,41,1,57,49,0,5,9,9,2,32,1,"female",7,6,"Low","High",2,"High","9",0.719298245614035,-0.164194527299821,-1,"underestimate",0,1,0,1,"Stay",4,"HH","1","Experiment 1"
"6",1,65,68,0,94,78,0.230769230769231,6,4,1,1,32,1,"female",3,6,"High","Low",1,"Low","1",0.691489361702128,-0.192003411211728,-1,"underestimate",0,0,-3,2,"Compromise",1,"LL","11","Experiment 1"
"7",1,56,56,1,76,67,0,8,8,3,1,32,1,"female",4,5,"Low","Low",2,"High","3",0.736842105263158,-0.146650667650698,-1,"underestimate",0,1,-5,1,"Stay",3,"HL","3","Experiment 1"
"8",1,45,49,0,84,50,0.8,12,1,10,2,32,1,"female",2,4,"High","High",1,"Low","10",0.535714285714286,-0.34777848719957,-1,"underestimate",0,0,9,2,"Compromise",2,"LH","88","Experiment 1"
"9",1,40,40,0,57,47,0,15,4,8,2,32,1,"female",4,6,"High","High",1,"Low","8",0.701754385964912,-0.181738386948944,-1,"underestimate",0,1,4,1,"Stay",2,"LH","88","Experiment 1"
"10",1,150,72,0,44,72,1,17,1,1,1,32,1,"female",5,4,"High","Low",1,"Low","1",3.40909090909091,2.52559813617705,1,"overestimate",1,0,0,3,"Copy",1,"LL","11","Experiment 1"
"11",1,80,80,1,76,64,0,18,7,1,1,32,1,"female",4,8,"Low","Low",2,"High","1",1.05263157894737,0.169138806033512,1,"overestimate",0,1,-6,1,"Stay",3,"HL","3","Experiment 1"
"12",1,94,94,1,98,111,0,19,3,8,2,32,1,"female",4,6,"Low","High",1,"Low","8",0.959183673469388,0.0756909005555317,-1,"underestimate",0,1,5,1,"Stay",2,"LH","88","Experiment 1"
