"ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","confidenceTreatment","age","gender","gender_factor","time_estimate 1","time_estimate 2"
1,46,51,1,93,57,0.454545454545455,1,7,2,1,32,1,"female",5,13
1,78,85,0,84,91,0.538461538461538,2,4,9,3,32,1,"female",4,9
1,48,48,0,58,55,0,3,7,4,1,32,1,"female",8,6
1,81,80,1,79,63,0.0555555555555556,4,7,7,3,32,1,"female",3,8
1,41,41,1,57,49,0,5,9,9,3,32,1,"female",7,6
1,65,68,0,94,78,0.230769230769231,6,4,1,1,32,1,"female",3,6
1,47,45,0,44,40,0.285714285714286,7,6,1,1,32,1,"female",4,6
1,56,56,1,76,67,0,8,8,3,1,32,1,"female",4,5
1,64,65,0,98,72,0.125,9,6,8,3,32,1,"female",4,7
1,52,53,1,62,61,0.111111111111111,10,6,6,2,32,1,"female",3,6
1,50,52,0,93,61,0.181818181818182,11,4,6,2,32,1,"female",3,5
1,45,49,0,84,50,0.8,12,1,10,3,32,1,"female",2,4
1,57,59,0,58,66,0.222222222222222,13,6,8,3,32,1,"female",5,5
1,89,87,1,79,73,0.125,14,6,5,2,32,1,"female",3,4
1,40,40,0,57,47,0,15,4,8,3,32,1,"female",4,6
1,1,46,1,94,46,1,16,1,6,2,32,1,"female",3,6
1,150,72,0,44,72,1,17,1,1,1,32,1,"female",5,4
1,80,80,1,76,64,0,18,7,1,1,32,1,"female",4,8
1,94,94,1,98,111,0,19,3,8,3,32,1,"female",4,6
1,73,72,1,62,58,0.0666666666666667,20,3,3,1,32,1,"female",3,4
2,43,43,1,93,53,0,1,6,7,3,41,2,"male",7,13
2,27,31,0,84,33,0.666666666666667,2,5,9,3,41,2,"male",4,7
2,42,46,0,58,50,0.5,3,5,5,2,41,2,"male",8,8
2,69,73,1,79,84,0.266666666666667,4,5,9,3,41,2,"male",5,8
2,36,36,0,57,44,0,5,5,1,1,41,2,"male",7,8
2,77,78,1,94,90,0.0769230769230769,6,5,9,3,41,2,"male",4,10
2,39,43,0,44,46,0.571428571428571,7,5,3,1,41,2,"male",10,8
2,71,75,0,76,82,0.363636363636364,8,5,8,3,41,2,"male",5,7
2,80,80,0,98,97,0,9,6,2,1,41,2,"male",5,10
2,35,36,1,62,46,0.0909090909090909,10,3,7,3,41,2,"male",5,9
2,60,62,0,93,67,0.285714285714286,11,5,3,1,41,2,"male",6,9
