"ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","confidenceTreatment","uncertainty","confidence_treatments","confidence_self_category","confidence_self_factor","social_confidence_factor","norm1","under","under_factor","copy","stay"
1,46,51,1,93,57,0.454545454545455,1,7,2,1,"100%","Low",3,"High","2",0.494623655913978,-1,"underestimate",0,0
1,78,85,0,84,91,0.538461538461538,2,4,9,3,"30%","High",1,"Low","9",0.928571428571429,-1,"underestimate",0,0
1,48,48,0,58,55,0,3,7,4,1,"30%","Low",3,"High","4",0.827586206896552,-1,"underestimate",0,1
1,81,80,1,79,63,0.0555555555555556,4,7,7,3,"100%","High",3,"High","7",1.0253164556962,1,"overestimate",0,0
1,41,41,1,57,49,0,5,9,9,3,"100%","High",3,"High","9",0.719298245614035,-1,"underestimate",0,1
1,65,68,0,94,78,0.230769230769231,6,4,1,1,"30%","Low",1,"Low","1",0.691489361702128,-1,"underestimate",0,0
1,47,45,0,44,40,0.285714285714286,7,6,1,1,"30%","Low",2,"Medium","1",1.06818181818182,1,"overestimate",0,0
1,56,56,1,76,67,0,8,8,3,1,"100%","Low",3,"High","3",0.736842105263158,-1,"underestimate",0,1
1,64,65,0,98,72,0.125,9,6,8,3,"30%","High",2,"Medium","8",0.653061224489796,-1,"underestimate",0,0
1,52,53,1,62,61,0.111111111111111,10,6,6,2,"100%","Medium",2,"Medium","6",0.838709677419355,-1,"underestimate",0,0
1,50,52,0,93,61,0.181818181818182,11,4,6,2,"30%","Medium",1,"Low","6",0.537634408602151,-1,"underestimate",0,0
1,45,49,0,84,50,0.8,12,1,10,3,"30%","High",1,"Low","10",0.535714285714286,-1,"underestimate",0,0
1,57,59,0,58,66,0.222222222222222,13,6,8,3,"30%","High",2,"Medium","8",0.982758620689655,-1,"underestimate",0,0
1,89,87,1,79,73,0.125,14,6,5,2,"100%","Medium",2,"Medium","5",1.12658227848101,1,"overestimate",0,0
1,40,40,0,57,47,0,15,4,8,3,"30%","High",1,"Low","8",0.701754385964912,-1,"underestimate",0,1
1,1,46,1,94,46,1,16,1,6,2,"100%","Medium",1,"Low","6",0.0106382978723404,-1,"underestimate",1,0
1,150,72,0,44,72,1,17,1,1,1,"30%","Low",1,"Low","1",3.40909090909091,1,"overestimate",1,0
1,80,80,1,76,64,0,18,7,1,1,"100%","Low",3,"High","1",1.05263157894737,1,"overestimate",0,1
1,94,94,1,98,111,0,19,3,8,3,"100%","High",1,"Low","8",0.959183673469388,-1,"underestimate",0,1
1,73,72,1,62,58,0.0666666666666667,20,3,3,1,"100%","Low",1,"Low","3",1.17741935483871,1,"overestimate",0,0
2,43,43,1,93,53,0,1,6,7,3,"100%","High",2,"Medium","7",0.462365591397849,-1,"underestimate",0,1
2,27,31,0,84,33,0.666666666666667,2,5,9,3,"30%","High",2,"Medium","9",0.321428571428571,-1,"underestimate",0,0
2,42,46,0,58,50,0.5,3,5,5,2,"30%","Medium",2,"Medium","5",0.724137931034483,-1,"underestimate",0,0
2,69,73,1,79,84,0.266666666666667,4,5,9,3,"100%","High",2,"Medium","9",0.873417721518987,-1,"underestimate",0,0
2,36,36,0,57,44,0,5,5,1,1,"30%","Low",2,"Medium","1",0.631578947368421,-1,"underestimate",0,1
2,77,78,1,94,90,0.0769230769230769,6,5,9,3,"100%","High",2,"Medium","9",0.819148936170213,-1,"underestimate",0,0
2,39,43,0,44,46,0.571428571428571,7,5,3,1,"30%","Low",2,"Medium","3",0.886363636363636,-1,"underestimate",0,0
2,71,75,0,76,82,0.363636363636364,8,5,8,3,"30%","High",2,"Medium","8",0.934210526315789,-1,"underestimate",0,0
2,80,80,0,98,97,0,9,6,2,1,"30%","Low",2,"Medium","2",0.816326530612245,-1,"underestimate",0,1
2,35,36,1,62,46,0.0909090909090909,10,3,7,3,"100%","High",1,"Low","7",0.564516129032258,-1,"underestimate",0,0
2,60,62,0,93,67,0.285714285714286,11,5,3,1,"30%","Low",2,"Medium","3",0.645161290322581,-1,"underestimate",0,0
2,56,59,1,84,67,0.272727272727273,12,3,4,1,"100%","Low",1,"Low","4",0.666666666666667,-1,"underestimate",0,0
2,23,24,1,58,30,0.142857142857143,13,5,1,1,"100%","Low",2,"Medium","1",0.396551724137931,-1,"underestimate",0,0
2,76,82,1,79,95,0.315789473684211,14,5,5,2,"100%","Medium",2,"Medium","5",0.962025316455696,-1,"underestimate",0,0
2,52,55,0,57,63,0.272727272727273,15,4,3,1,"30%","Low",1,"Low","3",0.912280701754386,-1,"underestimate",0,0
2,49,51,1,94,59,0.2,16,5,6,2,"100%","Medium",2,"Medium","6",0.521276595744681,-1,"underestimate",0,0
