playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_252852ready,wait_252830ready,wait_252831ready,wait_252832ready,wait_252833ready,wait_252834ready,wait_252835ready,wait_252836ready,wait_252837ready,wait_252853ready,wait_252838ready,wait_253268ready,wait_252840ready,wait_252841ready,wait_252842ready,wait_252843ready,wait_252844ready,wait_252845ready,wait_252851ready,wait_252847ready,wait_252848ready,wait_252849ready,wait_252850ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
1,0,0,0,0,1,check,0,1606245991,1606295574,4032e59131448fca7fb0535f19f15dfe,76.27.219.,45.4407#-122.7792,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2,0,0,0,0,14,estimate 1,0,1606246535,1606246565,5da5aac690af47a9b3c5a3ca77c4dfe1,63.75.253.,37.751#-97.822,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
3,0,0,0,0,20,Collect payment,0,1606247243,1606247253,6acbca079cb9d88868326d79a1a7a36a,71.197.254,47.1101#-122.775,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
4,0,0,0,0,20,Collect payment,0,1606247674,1606247706,cc47789000d12a653643cb9e23628925,72.17.88.3,28.6225#-81.4317,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
5,0,0,0,0,1,estimate 2,0,1606247323,1606247385,671abe4878d6d23e46e408d271b8f047,174.81.129,33.7352#-87.0555,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,0,0,0,0,20,Collect payment,0,1606247909,1606247915,4ea27d719e8c1540353f539367663f39,100.34.223,40.0443#-75.6472,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
7,0,0,0,0,1,check,0,1606247488,1606247720,293317fd15dbc5097152fefb71266615,68.190.113,43.0977#-89.3118,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
8,0,0,0,0,20,Collect payment,0,1606248978,1606249008,2a869d1313b57ffa890a446541bbd0be,68.98.85.1,33.6325#-112.1277,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
9,0,0,0,0,20,Collect payment,0,1606248651,1606248681,a4fdb7334accc3c6007d55c9c9f115f1,96.255.134,38.6438#-77.3451,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
10,0,0,0,0,8,estimate 1,0,1606248539,1606248571,c6d8d0271c4387c524cb43b5a85d4411,72.177.16.,30.4032#-97.753,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
11,0,0,0,0,20,Collect payment,0,1606248674,1606248693,5fc174cb860e0b98cc9ce699877640b4,212.162.14,41.8777#-87.6376,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
12,0,0,0,0,20,Collect payment,0,1606249318,1606249337,eb7ae44198901378b75f23506966a3a0,67.199.217,42.1545#-85.829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
13,0,0,0,0,7,estimate 1,0,1606249750,1606249780,c9e3ea7aa44807a9c525f9310a7bd515,24.102.128,40.6006#-75.4677,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
14,0,0,0,0,20,Collect payment,NA,1606250684,1606250774,fa0ac9b4631570d1b418a81b35eed58c,66.190.98.,32.7192#-97.4505,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
15,0,0,0,0,5,estimate 2,NA,1606250546,1606250578,b3b95a2989b411760ac600cebfa88564,70.189.80.,36.0606#-95.9456,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
16,0,0,0,0,20,Collect payment,0,1606253996,1606254393,c18daabd27de35cf8a9779b6619f0556,68.109.61.,32.8936#-83.743,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
