playerNr,groupNr,subjectNr,period,check,relevant_decI,nAnimals,animalName,treatment,e1,e2,orderTrials,orderConfidence1,confidence,confidenceTreatment,consent_beg,consent_end,whichPart,qR1,qR2,qR3,social_info,social_confidence,goal,strategy,general,partA,remarks,age,gender,time_check,time_welcome,time_HIT description,time_Instructions 1,time_Instructions 2,time_Instructions 3,time_Instructions 4,time_Instructions 5,time_Instructions 6,time_Instructions 7,time_Instructions 8,time_Instructions 9,time_Instructions 10,time_quiz,time_get ready,time_watch pic,time_estimate 1,time_confidence,time_estimate 2,time_end of round,time_Questionnaire,time_earnings,time_Collect payment
1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,0,1,NA,3,93,ant,1,76,120,"1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1","3,1,3,3,1,1,3,3,1,2,3,1,1,2,3,2,1,1,2,3,3,1,3,3,1,1,3,3,1,2,3,1,1,2,3,2,1,1,2,3",6,3,1,0,2,1,1,1,91,8,NA,NA,NA,NA,NA,NA,NA,29,25,2,4,3,2,4,4,1,2,2,7,3,9,2,NA,7,2,4,1,NA,NA,NA
2,NA,NA,2,NA,NA,84,bee,0,94,139,NA,NA,6,1,NA,NA,NA,NA,NA,NA,75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,4,18,NA,NA,NA
2,NA,NA,3,NA,NA,58,flamingo,0,105,119,NA,NA,7,3,NA,NA,NA,NA,NA,NA,80,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,5,4,NA,NA,NA
2,NA,NA,4,NA,NA,79,crane,0,97,126,NA,NA,7,3,NA,NA,NA,NA,NA,NA,80,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,NA,NA,NA
2,NA,NA,5,NA,NA,57,cricket,1,103,122,NA,NA,7,1,NA,NA,NA,NA,NA,NA,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,7,2,NA,NA,NA
2,NA,NA,6,NA,NA,94,ant,0,98,135,NA,NA,8,1,NA,NA,NA,NA,NA,NA,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,2,NA,NA,NA
2,NA,NA,7,NA,NA,44,bee,0,98,140,NA,NA,7,3,NA,NA,NA,NA,NA,NA,75,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,NA,NA,NA
2,NA,NA,8,NA,NA,76,flamingo,1,89,114,NA,NA,6,3,NA,NA,NA,NA,NA,NA,72,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,NA,NA,NA
2,NA,NA,9,NA,NA,98,crane,1,100,130,NA,NA,8,1,NA,NA,NA,NA,NA,NA,80,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,5,1,NA,NA,NA
2,NA,NA,10,NA,NA,62,cricket,0,92,121,NA,NA,7,2,NA,NA,NA,NA,NA,NA,78,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,4,4,NA,NA,NA
2,NA,NA,11,NA,NA,93,ant,1,93,111,NA,NA,6,3,NA,NA,NA,NA,NA,NA,101,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,2,NA,NA,NA
2,NA,NA,12,NA,NA,84,bee,0,85,102,NA,NA,6,1,NA,NA,NA,NA,NA,NA,67,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,4,2,NA,NA,NA
2,NA,NA,13,NA,NA,58,flamingo,0,97,118,NA,NA,6,1,NA,NA,NA,NA,NA,NA,74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,13,2,NA,NA,NA
