"ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","age","gender","time_estimate.1","time_estimate.2","uncertainty","confidence_other","confidence_self_category","confidence_self","social_confidence_factor","norm1","std_error","under","under_factor","copy","stay","diff_conf","heuristic","heuristic_f","interaction","interaction_f","linetype","experiment","playerNr","state","target_found","direction","president","identification","news","trust","peace","ownParty","politicsLadder","newssource","newssource2","extrasource","feedback","expertise","confidence_self_number","confidence_other_number","state_type","state_type_factor","favorability","favorability_fact","same_majority","same_majority_fact","conditions","percDem","winner","state_short","population","diff1","diff2","improvement"
1,46,51,1,93,57,0.454545454545455,1,7,2,32,"female",5,13,"Low","Low",2,"High","2",0.494623655913978,-0.388869116999877,-1,"underestimate",0,0,-5,2,"Compromise",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,78,85,0,84,91,0.538461538461538,2,4,9,32,"female",4,9,"High","High",1,"Low","9",0.928571428571429,0.0450786556575726,-1,"underestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,48,48,0,58,55,0,3,7,4,32,"female",8,6,"High","Low",2,"High","4",0.827586206896552,-0.0559065660173043,-1,"underestimate",0,1,-3,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,81,80,1,79,63,0.0555555555555556,4,7,7,32,"female",3,8,"Low","High",2,"High","7",1.0253164556962,0.141823682782346,1,"overestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,41,41,1,57,49,0,5,9,9,32,"female",7,6,"Low","High",2,"High","9",0.719298245614035,-0.164194527299821,-1,"underestimate",0,1,0,1,"Stay",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,65,68,0,94,78,0.230769230769231,6,4,1,32,"female",3,6,"High","Low",1,"Low","1",0.691489361702128,-0.192003411211728,-1,"underestimate",0,0,-3,2,"Compromise",1,"LL","11","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,56,56,1,76,67,0,8,8,3,32,"female",4,5,"Low","Low",2,"High","3",0.736842105263158,-0.146650667650698,-1,"underestimate",0,1,-5,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,45,49,0,84,50,0.8,12,1,10,32,"female",2,4,"High","High",1,"Low","10",0.535714285714286,-0.34777848719957,-1,"underestimate",0,0,9,2,"Compromise",2,"LH","88","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,40,40,0,57,47,0,15,4,8,32,"female",4,6,"High","High",1,"Low","8",0.701754385964912,-0.181738386948944,-1,"underestimate",0,1,4,1,"Stay",2,"LH","88","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,150,72,0,44,72,1,17,1,1,32,"female",5,4,"High","Low",1,"Low","1",3.40909090909091,2.52559813617705,1,"overestimate",1,0,0,3,"Copy",1,"LL","11","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,80,80,1,76,64,0,18,7,1,32,"female",4,8,"Low","Low",2,"High","1",1.05263157894737,0.169138806033512,1,"overestimate",0,1,-6,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,94,94,1,98,111,0,19,3,8,32,"female",4,6,"Low","High",1,"Low","8",0.959183673469388,0.0756909005555317,-1,"underestimate",0,1,5,1,"Stay",2,"LH","88","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,73,72,1,62,58,0.0666666666666667,20,3,3,32,"female",3,4,"Low","Low",1,"Low","3",1.17741935483871,0.293926581924854,1,"overestimate",0,0,0,2,"Compromise",1,"LL","11","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,35,36,1,62,46,0.0909090909090909,10,3,7,41,"male",5,9,"Low","High",1,"Low","7",0.564516129032258,-0.318976643881598,-1,"underestimate",0,0,4,2,"Compromise",2,"LH","88","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,56,59,1,84,67,0.272727272727273,12,3,4,41,"male",6,7,"Low","Low",1,"Low","4",0.666666666666667,-0.216826106247189,-1,"underestimate",0,0,1,2,"Compromise",1,"LL","11","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,52,55,0,57,63,0.272727272727273,15,4,3,41,"male",6,8,"High","Low",1,"Low","3",0.912280701754386,0.0287879288405299,-1,"underestimate",0,0,-1,2,"Compromise",1,"LL","11","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,40,44,0,98,53,0.307692307692308,19,4,4,41,"male",5,7,"High","Low",1,"Low","4",0.408163265306122,-0.475329507607734,-1,"underestimate",0,0,0,2,"Compromise",1,"LL","11","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,60,63,1,93,70,0.3,1,8,7,25,"male",5,10,"Low","High",2,"High","7",0.645161290322581,-0.238331482591275,-1,"underestimate",0,0,-1,2,"Compromise",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,29,29,0,84,34,0,2,8,10,25,"male",3,5,"High","High",2,"High","10",0.345238095238095,-0.538254677675761,-1,"underestimate",0,1,2,1,"Stay",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,23,23,0,58,30,0,3,9,1,25,"male",7,3,"High","Low",2,"High","1",0.396551724137931,-0.486941048775925,-1,"underestimate",0,1,-8,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,25,25,0,79,18,0,4,10,1,25,"male",4,3,"High","Low",2,"High","1",0.316455696202532,-0.567037076711324,-1,"underestimate",0,1,-9,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,28,28,0,94,36,0,6,9,2,25,"male",5,6,"High","Low",2,"High","2",0.297872340425532,-0.585620432488324,-1,"underestimate",0,1,-7,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,51,51,1,44,41,0,7,9,8,25,"male",7,4,"Low","High",2,"High","8",1.15909090909091,0.275598136177053,1,"overestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,64,64,1,62,51,0,10,8,4,25,"male",2,3,"Low","Low",2,"High","4",1.03225806451613,0.148765291602273,1,"overestimate",0,1,-4,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,29,29,0,84,34,0,12,8,10,25,"male",3,3,"High","High",2,"High","10",0.345238095238095,-0.538254677675761,-1,"underestimate",0,1,2,1,"Stay",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,60,60,1,58,49,0,13,8,3,25,"male",3,4,"Low","Low",2,"High","3",1.03448275862069,0.150989985706834,1,"overestimate",0,1,-5,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,82,82,1,79,67,0,14,8,9,25,"male",5,3,"Low","High",2,"High","9",1.0379746835443,0.154481910630448,1,"overestimate",0,1,1,1,"Stay",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,22,22,0,57,38,0,15,8,3,25,"male",5,3,"High","Low",2,"High","3",0.385964912280702,-0.497527860633154,-1,"underestimate",0,1,-5,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,29,29,0,94,35,0,16,8,7,25,"male",10,3,"High","High",2,"High","7",0.308510638297872,-0.574982134615984,-1,"underestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,21,21,0,44,27,0,17,9,1,25,"male",4,4,"High","Low",2,"High","1",0.477272727272727,-0.406220045641129,-1,"underestimate",0,1,-8,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,75,75,1,98,91,0,19,8,10,25,"male",3,4,"Low","High",2,"High","10",0.76530612244898,-0.118186650464876,-1,"underestimate",0,1,2,1,"Stay",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,71,71,1,62,57,0,20,8,7,25,"male",5,3,"Low","High",2,"High","7",1.14516129032258,0.261668517408725,1,"overestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,126,126,0,84,90,0,2,9,3,54,"male",12,12,"High","Low",2,"High","3",1.5,0.616507227086144,1,"overestimate",0,1,-6,1,"Stay",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,131,122,0,58,103,0.321428571428571,3,7,2,54,"male",11,9,"High","Low",2,"High","2",2.25862068965517,1.37512791674132,1,"overestimate",0,0,-5,2,"Compromise",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,104,87,1,94,85,0.894736842105263,6,8,2,54,"male",6,9,"Low","Low",2,"High","2",1.1063829787234,0.222890205809548,1,"overestimate",0,0,-6,2,"Compromise",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,125,87,1,44,72,0.716981132075472,7,9,1,54,"male",7,8,"Low","Low",2,"High","1",2.84090909090909,1.95741631799523,1,"overestimate",0,0,-8,2,"Compromise",3,"HL","3","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,118,94,1,76,94,1,8,7,9,54,"male",10,10,"Low","High",2,"High","9",1.55263157894737,0.669138806033512,1,"overestimate",1,0,2,3,"Copy",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,119,97,1,98,95,0.916666666666667,9,9,7,54,"male",5,9,"Low","High",2,"High","7",1.21428571428571,0.330792941371858,1,"overestimate",0,0,-2,2,"Compromise",4,"HH","1","Experiment 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
