"","interaction_f","heuristic_f","ID","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__"
"1","LL","Stay",NA,"1","Stay","LL","Stay",0.0934724523669967,0.0231598737516402,0.0568858206811893,0.14769168995765
"2","LH","Stay",NA,"1","Stay","LH","Stay",0.0245476547375868,0.00779653880285303,0.0127712442353515,0.0446323748600414
"3","HL","Stay",NA,"1","Stay","HL","Stay",0.155383381355618,0.0277848176626021,0.10414419241662,0.215564842236641
"4","HH","Stay",NA,"1","Stay","HH","Stay",0.101497876134249,0.0200437594000563,0.0663784766065929,0.14584598582765
"5","LL","Stay",NA,"1","Compromise","LL","Compromise",0.905680617581682,0.0233516377808534,0.85130686552747,0.942567202661984
"6","LH","Stay",NA,"1","Compromise","LH","Compromise",0.972875455723473,0.00832591548914356,0.951618875851071,0.985736561221949
"7","HL","Stay",NA,"1","Compromise","HL","Compromise",0.842927990304472,0.0278824046980375,0.781513508360166,0.894561846133915
"8","HH","Stay",NA,"1","Compromise","HH","Compromise",0.895545052989341,0.0205358444974621,0.849480042616696,0.931460675625416
"9","LL","Stay",NA,"1","Copy","LL","Copy",0.000525444653211357,0.000439597400450135,7.11693545568436e-05,0.00259305843063044
"10","LH","Stay",NA,"1","Copy","LH","Copy",0.00205209812713437,0.00149819277097984,0.000366135271228925,0.0079890840692053
"11","HL","Stay",NA,"1","Copy","HL","Copy",0.00135674604118317,0.0010111911108125,0.000210578734327334,0.00527511719019086
"12","HH","Stay",NA,"1","Copy","HH","Copy",0.00235895248675502,0.00171919889343895,0.000393761301097193,0.0091653612822977
