"","interaction_f","heuristic_f","ID","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__"
"1","LL","Stay",NA,"1","Stay","LL","Stay",0.0942475230971333,0.0230642849177475,0.0571823289424912,0.149880789545553
"2","LH","Stay",NA,"1","Stay","LH","Stay",0.0245303469419636,0.00786808694846163,0.0129366488962188,0.044581023607249
"3","HL","Stay",NA,"1","Stay","HL","Stay",0.154732337026975,0.0284297162716063,0.105954525465369,0.214555342433885
"4","HH","Stay",NA,"1","Stay","HH","Stay",0.100944472563433,0.0200652157425429,0.06694028281673,0.147073563460441
"5","LL","Stay",NA,"1","Compromise","LL","Compromise",0.904893782715596,0.0230886155111383,0.849334117492,0.942210668301811
"6","LH","Stay",NA,"1","Compromise","LH","Compromise",0.972837293288705,0.00833301703799203,0.951707218637539,0.985441539829387
"7","HL","Stay",NA,"1","Compromise","HL","Compromise",0.843650567345183,0.0287985268919425,0.78313222795096,0.892979295769926
"8","HH","Stay",NA,"1","Compromise","HH","Compromise",0.896139412783852,0.0205417840771151,0.84940244178933,0.931300727117456
"9","LL","Stay",NA,"1","Copy","LL","Copy",0.00054254488865769,0.000452396675631922,7.14493002129266e-05,0.00252273874790751
"10","LH","Stay",NA,"1","Copy","LH","Copy",0.00208289584037043,0.00151744170694848,0.000355410864102195,0.00805649995040239
"11","HL","Stay",NA,"1","Copy","HL","Copy",0.00135491615409939,0.00103661527719969,0.000216715340269709,0.00526123318461811
"12","HH","Stay",NA,"1","Copy","HH","Copy",0.0023677487930043,0.00173441707092307,0.00040525847313,0.00858601340852555
