"","interaction_f","heuristic_f","ID","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__"
"1","LL","Stay",NA,"1","Stay","LL","Stay",0.190247746628811,0.0429366513754924,0.118473805914208,0.288521015278974
"2","LH","Stay",NA,"1","Stay","LH","Stay",0.0897590171202554,0.0238470255197048,0.0515662410135619,0.149291753105182
"3","HL","Stay",NA,"1","Stay","HL","Stay",0.230822990803297,0.0486490472252502,0.146745486700564,0.338376826520206
"4","HH","Stay",NA,"1","Stay","HH","Stay",0.11137317932931,0.0271791592437341,0.0663570685321046,0.176856511406303
"5","LL","Stay",NA,"1","Compromise","LL","Compromise",0.809591541020708,0.0429249346884095,0.711411576130821,0.881124393689596
"6","LH","Stay",NA,"1","Compromise","LH","Compromise",0.909944522379446,0.0239406496479528,0.850396949137369,0.948260299788877
"7","HL","Stay",NA,"1","Compromise","HL","Compromise",0.769047372711125,0.0486272362437206,0.661526647474077,0.853147488206164
"8","HH","Stay",NA,"1","Compromise","HH","Compromise",0.88848527831828,0.0271563990781997,0.823060912214721,0.933485777799305
"9","LL","Stay",NA,"1","Copy","LL","Copy",9.63847173776893e-05,0.000106055532911262,3.86716398650615e-06,0.000840027557458334
"10","LH","Stay",NA,"1","Copy","LH","Copy",0.000180183472844929,0.000196947217232059,8.52402462792025e-06,0.00151441462335212
"11","HL","Stay",NA,"1","Copy","HL","Copy",6.01160776362265e-05,6.71635350694588e-05,2.27768394403728e-06,0.000554965836057063
"12","HH","Stay",NA,"1","Copy","HH","Copy",8.19674645378236e-05,9.01404470796816e-05,3.27732178265101e-06,0.000731007941425585
