"","Hypothesis","Estimate","Est.Error","CI.Lower","CI.Upper","Evid.Ratio","Post.Prob","Star","Experiment"
"1","(muCompromise_Intercept) > 0","2.26","0.27","1.83","2.71",">100","1.00","*","Experiment 1"
"2","(muCompromise_Intercept) > 0","1.45","0.28","0.97","1.91",">100","1.00","*","Experiment 2"
"3","(muCompromise_interaction_fHH) > 0","-0.08","0.26","-0.51","0.35","0.60","0.37","","Experiment 1"
"4","(muCompromise_interaction_fHH) > 0","0.64","0.19","0.32","0.95","1999.00","1.00","*","Experiment 2"
"5","(muCompromise_interaction_fHL) < 0","-0.56","0.26","-1.00","-0.13","60.22","0.98","*","Experiment 1"
"6","(muCompromise_interaction_fHL) < 0","-0.24","0.20","-0.57","0.07","8.24","0.89","","Experiment 2"
"7","(muCompromise_interaction_fLH) > 0","1.42","0.28","0.99","1.88",">100","1.00","*","Experiment 1"
"8","(muCompromise_interaction_fLH) > 0","0.88","0.20","0.55","1.21",">100","1.00","*","Experiment 2"
"9","(muCopy_Intercept) < 0","-5.23","0.91","-6.78","-3.84",">100","1.00","*","Experiment 1"
"10","(muCopy_Intercept) < 0","-7.73","1.34","-10.10","-5.77",">100","1.00","*","Experiment 2"
"11","(muCopy_interaction_fHH) > 0","1.41","0.73","0.23","2.64","42.17","0.98","*","Experiment 1"
"12","(muCopy_interaction_fHH) > 0","0.39","0.51","-0.44","1.21","3.69","0.79","","Experiment 2"
"13","(muCopy_interaction_fHL) < 0","-0.65","0.55","-1.57","0.24","7.70","0.89","","Experiment 2"
"14","(muCopy_interaction_fHL) > 0","0.43","0.74","-0.78","1.64","2.51","0.72","","Experiment 1"
"15","(muCopy_interaction_fLH) > 0","2.71","0.68","1.65","3.86",">100","1.00","*","Experiment 1"
"16","(muCopy_interaction_fLH) > 0","1.41","0.50","0.59","2.23","460.54","1.00","*","Experiment 2"
